figure,panel,element,source_file,source_value,rendered_value,status
Figure 2,B,corrected gap (minimax-m2.5-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.05732866070230758,0.05732866070230758,MATCH
Figure 2,B,raw gap (claude-opus-4.6),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.11096491464754432,0.11096491464754432,MATCH
Figure 2,B,corrected gap (claude-opus-4.6),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.10534916052471854,0.10534916052471854,MATCH
Figure 2,B,raw gap (claude-4.5-opus-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.11492401068327862,0.11492401068327862,MATCH
Figure 2,B,corrected gap (claude-4.5-opus-high),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.11063216919282925,0.11063216919282925,MATCH
Figure 2,B,raw gap (gemini-3-pro),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.9582048058509827,0.9582048058509827,MATCH
Figure 2,B,corrected gap (gemini-3-pro),outputs\paper2_w2_visual_architecture\data\figure2_plot_data.csv,0.0,0.0,MATCH
Figure 3,A,occurrence pair-0006 (claude-4.5-haiku-high),outputs\paper2_w2_visual_architecture\data\figure3_plot_data.csv,0.13970622125090737,0.13970622125090737,MATCH
Figure 3,A,occurrence pair-0106 (claude-4.5-opus-high),outputs\paper2_w2_visual_architecture\data\figure3_plot_data.csv,0.1321269532027739,0.1321269532027739,MATCH
Figure 3,A,occurrence pair-0206 (claude-opus-4.6),outputs\paper2_w2_visual_architecture\data\figure3_plot_data.csv,0.13459457460989155,0.13459457460989155,MATCH
Figure 3,A,occurrence pair-0306 (gemini-3-flash-high),outputs\paper2_w2_visual_architecture\data\figure3_plot_data.csv,0.1377462284504496,0.1377462284504496,MATCH
Figure 3,A,occurrence pair-0406 (gemini-3-pro),outputs\paper2_w2_visual_architecture\data\figure3_plot_data.csv,0.11734626800166015,0.11734626800166015,MATCH
Figure 3,A,occurrence pair-0506 (glm-5-high),outputs\paper2_w2_visual_architecture\data\figure3_plot_data.csv,0.14897354346827263,0.14897354346827263,MATCH
Figure 3,A,occurrence pair-0607 (gpt-5.2-codex),outputs\paper2_w2_visual_architecture\data\figure3_plot_data.csv,0.1662715328812231,0.1662715328812231,MATCH
Figure 3,A,occurrence pair-0608 (gpt-5.2-high),outputs\paper2_w2_visual_architecture\data\figure3_plot_data.csv,0.12785281104986934,0.12785281104986934,MATCH
Figure 3,A,occurrence pair-0609 (minimax-m2.5-high),outputs\paper2_w2_visual_architecture\data\figure3_plot_data.csv,0.14934259457134136,0.14934259457134136,MATCH
Figure 3,A,annotation median_signed_gap,outputs\paper2_w2_visual_architecture\data\figure3_annotation_values.json,0.1377462284504496,0.1377462284504496,MATCH
Figure 3,A,annotation bootstrap_ci_lower,outputs\paper2_w2_visual_architecture\data\figure3_annotation_values.json,0.11681530181196477,0.11681530181196477,MATCH
Figure 3,A,annotation bootstrap_ci_upper,outputs\paper2_w2_visual_architecture\data\figure3_annotation_values.json,0.15944975771607114,0.15944975771607114,MATCH
Figure 3,A,annotation bootstrap_median,outputs\paper2_w2_visual_architecture\data\figure3_annotation_values.json,0.1380731364042609,0.1380731364042609,MATCH
Figure 3,A,annotation jackknife_min_abs_median,outputs\paper2_w2_visual_architecture\data\figure3_annotation_values.json,0.13617040153017057,0.13617040153017057,MATCH
Figure 3,A,annotation jackknife_sign_preserved_all,outputs\paper2_w2_visual_architecture\data\figure3_annotation_values.json,True,True,MATCH
Figure 3,A,annotation task_half_A_median,outputs\paper2_w2_visual_architecture\data\figure3_annotation_values.json,0.11767970623031776,0.11767970623031776,MATCH
Figure 3,A,annotation task_half_B_median,outputs\paper2_w2_visual_architecture\data\figure3_annotation_values.json,0.14894173870245364,0.14894173870245364,MATCH
Figure 3,B,occurrence pair-0002 (claude-4.5-haiku-high),outputs\paper2_w2_visual_architecture\data\figure3_plot_data.csv,0.14161996504236674,0.14161996504236674,MATCH
Figure 3,B,occurrence pair-0102 (claude-4.5-opus-high),outputs\paper2_w2_visual_architecture\data\figure3_plot_data.csv,0.0768836323699027,0.0768836323699027,MATCH
Figure 3,B,occurrence pair-0204 (gemini-3-pro),outputs\paper2_w2_visual_architecture\data\figure3_plot_data.csv,0.08251333253652737,0.08251333253652737,MATCH
Figure 3,B,occurrence pair-0205 (glm-5-high),outputs\paper2_w2_visual_architecture\data\figure3_plot_data.csv,0.04409941729001732,0.04409941729001732,MATCH
Figure 3,B,occurrence pair-0206 (gpt-5-mini),outputs\paper2_w2_visual_architecture\data\figure3_plot_data.csv,0.1146098607280106,0.1146098607280106,MATCH
Figure 3,B,occurrence pair-0207 (gpt-5.2-codex),outputs\paper2_w2_visual_architecture\data\figure3_plot_data.csv,0.11039703482593621,0.11039703482593621,MATCH
Figure 3,B,occurrence pair-0208 (gpt-5.2-high),outputs\paper2_w2_visual_architecture\data\figure3_plot_data.csv,0.12702368893590055,0.12702368893590055,MATCH
Figure 3,B,occurrence pair-0209 (minimax-m2.5-high),outputs\paper2_w2_visual_architecture\data\figure3_plot_data.csv,0.11107776761037536,0.11107776761037536,MATCH
Figure 3,B,annotation median_signed_gap,outputs\paper2_w2_visual_architecture\data\figure3_annotation_values.json,0.11073740121815578,0.11073740121815578,MATCH
Figure 3,B,annotation bootstrap_ci_lower,outputs\paper2_w2_visual_architecture\data\figure3_annotation_values.json,0.05100413519648092,0.05100413519648092,MATCH
Figure 3,B,annotation bootstrap_ci_upper,outputs\paper2_w2_visual_architecture\data\figure3_annotation_values.json,0.14856491377866127,0.14856491377866127,MATCH
Figure 3,B,annotation bootstrap_median,outputs\paper2_w2_visual_architecture\data\figure3_annotation_values.json,0.0970468206689453,0.0970468206689453,MATCH
Figure 3,B,annotation jackknife_min_abs_median,outputs\paper2_w2_visual_architecture\data\figure3_annotation_values.json,0.11039703482593621,0.11039703482593621,MATCH
Figure 3,B,annotation jackknife_sign_preserved_all,outputs\paper2_w2_visual_architecture\data\figure3_annotation_values.json,True,True,MATCH
Figure 3,B,annotation task_half_A_median,outputs\paper2_w2_visual_architecture\data\figure3_annotation_values.json,0.08688594138784889,0.08688594138784889,MATCH
Figure 3,B,annotation task_half_B_median,outputs\paper2_w2_visual_architecture\data\figure3_annotation_values.json,0.11354561216502507,0.11354561216502507,MATCH
Figure 4,A,TARGET_1 @ 0.9: gap,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.11251243867464988,0.11251243867464988,MATCH
Figure 4,A,TARGET_1 @ 0.9: CI lower,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.09536950734306153,0.09536950734306153,MATCH
Figure 4,A,TARGET_1 @ 0.9: CI upper,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.12678930165704008,0.12678930165704008,MATCH
Figure 4,A,TARGET_1 @ 0.925: gap,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.12002521064108551,0.12002521064108551,MATCH
Figure 4,A,TARGET_1 @ 0.925: CI lower,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.10194926684304571,0.10194926684304571,MATCH
Figure 4,A,TARGET_1 @ 0.925: CI upper,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.13653406184120295,0.13653406184120295,MATCH
Figure 4,A,TARGET_1 @ 0.95: gap,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.1377462284504496,0.1377462284504496,MATCH
Figure 4,A,TARGET_1 @ 0.95: CI lower,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.11754861753608932,0.11754861753608932,MATCH
Figure 4,A,TARGET_1 @ 0.95: CI upper,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.15985351816199195,0.15985351816199195,MATCH
Figure 4,A,TARGET_1 @ 0.975: gap,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.16983431930551485,0.16983431930551485,MATCH
Figure 4,A,TARGET_1 @ 0.975: CI lower,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.12742532358923503,0.12742532358923503,MATCH
Figure 4,A,TARGET_1 @ 0.975: CI upper,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.2143977896483395,0.2143977896483395,MATCH
Figure 4,A,TARGET_2 @ 0.9: gap,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.13744058607047355,0.13744058607047355,MATCH
Figure 4,A,TARGET_2 @ 0.9: CI lower,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.0895298488412944,0.0895298488412944,MATCH
Figure 4,A,TARGET_2 @ 0.9: CI upper,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.16795866354586556,0.16795866354586556,MATCH
Figure 4,A,TARGET_2 @ 0.925: gap,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.11604011179651463,0.11604011179651463,MATCH
Figure 4,A,TARGET_2 @ 0.925: CI lower,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.08381597138000893,0.08381597138000893,MATCH
Figure 4,A,TARGET_2 @ 0.925: CI upper,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.17070162991180246,0.17070162991180246,MATCH
Figure 4,A,TARGET_2 @ 0.95: gap,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.1107374012181559,0.1107374012181559,MATCH
Figure 4,A,TARGET_2 @ 0.95: CI lower,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.05104734793368174,0.05104734793368174,MATCH
Figure 4,A,TARGET_2 @ 0.95: CI upper,outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,0.14620003871873352,0.14620003871873352,MATCH
Figure 4,A,TARGET_2 @ 0.975: NOT EVALUABLE marker (not a gap value),outputs\paper2_w2_visual_architecture\data\figure4_threshold_data.csv,NOT_EVALUABLE,NOT_EVALUABLE,MATCH
Figure 4,B,TARGET_1 SWE-bench: gap,outputs\paper2_w2_visual_architecture\data\figure4_cross_benchmark_data.csv,0.1377462284504496,0.1377462284504496,MATCH
Figure 4,B,TARGET_1 SWE-bench: CI,outputs\paper2_w2_visual_architecture\data\figure4_cross_benchmark_data.csv,0.11754861753608932,0.11754861753608932,MATCH
Figure 4,B,TARGET_1 SWE-bench: CI,outputs\paper2_w2_visual_architecture\data\figure4_cross_benchmark_data.csv,0.15985351816199195,0.15985351816199195,MATCH
Figure 4,B,"TARGET_1 TerminalBench: 0 decisions, gap NA (not drawn as zero)",outputs\paper2_w2_visual_architecture\data\figure4_cross_benchmark_data.csv,INDETERMINATE,INDETERMINATE,MATCH
Figure 4,B,TARGET_2 SWE-bench: gap,outputs\paper2_w2_visual_architecture\data\figure4_cross_benchmark_data.csv,0.1107374012181559,0.1107374012181559,MATCH
Figure 4,B,TARGET_2 SWE-bench: CI,outputs\paper2_w2_visual_architecture\data\figure4_cross_benchmark_data.csv,0.05104734793368174,0.05104734793368174,MATCH
Figure 4,B,TARGET_2 SWE-bench: CI,outputs\paper2_w2_visual_architecture\data\figure4_cross_benchmark_data.csv,0.14620003871873352,0.14620003871873352,MATCH
Figure 4,B,TARGET_2 TerminalBench: gap,outputs\paper2_w2_visual_architecture\data\figure4_cross_benchmark_data.csv,0.0619669131120315,0.0619669131120315,MATCH
Figure 4,B,TARGET_2 TerminalBench: CI,outputs\paper2_w2_visual_architecture\data\figure4_cross_benchmark_data.csv,-0.1093587649685867,-0.1093587649685867,MATCH
Figure 4,B,TARGET_2 TerminalBench: CI,outputs\paper2_w2_visual_architecture\data\figure4_cross_benchmark_data.csv,0.2562775723693225,0.2562775723693225,MATCH
